Neighborhood,Average Price,Average Rating,Number of Listings,,,,
Adams,122,96.98245614,70,,,Adams,96.98245614
Alki,172,96.86734694,42,,,Alki,96.86734694
Arbor Heights,127,97.52380952,5,,,Arbor Heights,97.52380952
Atlantic,111,96.68376068,53,,,Atlantic,96.68376068
Belltown,163,93.22276029,234,,,Belltown,93.22276029
Bitter Lake,83,94.22857143,13,,,Bitter Lake,94.22857143
Briarcliff,177,97.22222222,14,,,Briarcliff,97.22222222
Brighton,91,94.53846154,13,,,Brighton,94.53846154
Broadview,95,95.20588235,17,,,Broadview,95.20588235
Broadway,124,94.28857715,397,,,Broadway,94.28857715
Bryant,115,94.63793103,29,,,Bryant,94.63793103
Cedar Park,115,95.20689655,8,,,Cedar Park,95.20689655
Central Business District,164,92.95454545,103,,,Central Business District,92.95454545
Columbia City,95,96.97315436,58,,,Columbia City,96.97315436
Crown Hill,88,97.40625,21,,,Crown Hill,97.40625
Dunlap,88,94.4,20,,,Dunlap,94.4
East Queen Anne,159,96.875,82,,,East Queen Anne,96.875
Eastlake,122,96.32142857,45,,,Eastlake,96.32142857
Fairmount Park,129,96.94594595,29,,,Fairmount Park,96.94594595
Fauntleroy,164,97.21212121,10,,,Fauntleroy,97.21212121
First Hill,136,92.90625,108,,,First Hill,92.90625
Fremont,129,96.51737452,158,,,Fremont,96.51737452
Gatewood,124,97.375,22,,,Gatewood,97.375
Genesee,122,97.4137931,34,,,Genesee,97.4137931
Georgetown,76,96.67857143,8,,,Georgetown,96.67857143
Green Lake,149,96.61290323,54,,,Green Lake,96.61290323
Greenwood,99,96.50276243,89,,,Greenwood,96.50276243
Haller Lake,103,95.28,15,,,Haller Lake,95.28
Harbor Island,115,,14,,,Harbor Island,
Harrison/Denny-Blaine,104,96,14,,,Harrison/Denny-Blaine,96
High Point,86,96.44117647,11,,,High Point,96.44117647
Highland Park,147,96.925,6,,,Highland Park,96.925
Holly Park,173,92.9,6,,,Holly Park,92.9
Industrial District,110,96,11,,,Industrial District,96
Interbay,105,97.26666667,17,,,Interbay,97.26666667
International District,108,88.21686747,10,,,International District,88.21686747
Laurelhurst,148,97.95,30,,,Laurelhurst,97.95
Lawton Park,134,95.92537313,53,,,Lawton Park,95.92537313
Leschi,138,97.30232558,94,,,Leschi,97.30232558
Lower Queen Anne,109,95.13855422,52,,,Lower Queen Anne,95.13855422
Loyal Heights,130,97.03409091,18,,,Loyal Heights,97.03409091
Madison Park,158,94.2173913,47,,,Madison Park,94.2173913
Madrona,132,97.72058824,67,,,Madrona,97.72058824
Mann,80,95.94444444,42,,,Mann,95.94444444
Maple Leaf,107,95.67924528,19,,,Maple Leaf,95.67924528
Matthews Beach,99,95.83783784,9,,,Matthews Beach,95.83783784
Meadowbrook,80,96.82352941,30,,,Meadowbrook,96.82352941
Mid-Beacon Hill,122,94.89156627,135,,,Mid-Beacon Hill,94.89156627
Minor,183,95.63928571,19,,,Minor,95.63928571
Montlake,98,96.72727273,50,,,Montlake,96.72727273
Mount Baker,146,96.42857143,49,,,Mount Baker,96.42857143
North Admiral,128,97.45544554,14,,,North Admiral,97.45544554
North Beach/Blue Ridge,97,97.03448276,78,,,North Beach/Blue Ridge,97.03448276
North Beacon Hill,89,96.94318182,19,,,North Beacon Hill,96.94318182
North College Park,76,91.56923077,32,,,North College Park,91.56923077
North Delridge,150,96.63934426,54,,,North Delridge,96.63934426
North Queen Anne,72,96.23076923,16,,,North Queen Anne,96.23076923
Olympic Hills,130,94.09090909,73,,,Olympic Hills,94.09090909
Phinney Ridge,158,96.734375,28,,,Phinney Ridge,96.734375
Pike-Market,117,91.40425532,4,,,Pike-Market,91.40425532
Pinehurst,169,94.58333333,23,,,Pinehurst,94.58333333
Pioneer Square,228,91.09090909,14,,,Pioneer Square,91.09090909
Portage Bay,69,97.2173913,18,,,Portage Bay,97.2173913
Rainier Beach,89,95,67,,,Rainier Beach,95
Rainier View,80,96.31578947,8,,,Rainier View,96.31578947
Ravenna,98,94.01980198,30,,,Ravenna,94.01980198
Riverview,92,94.9,2,,,Riverview,94.9
Roosevelt,118,96.48571429,12,,,Roosevelt,96.48571429
Roxhill,108,97.8125,44,,,Roxhill,97.8125
Seaview,83,97.64705882,4,,,Seaview,97.64705882
Seward Park,75,95.975,12,,,Seward Park,95.975
South Beacon Hill,135,94.03571429,27,,,South Beacon Hill,94.03571429
South Delridge,90,95.72093023,3,,,South Delridge,95.72093023
South Lake Union,232,92.83870968,17,,,South Lake Union,92.83870968
South Park,133,89.92307692,119,,,South Park,89.92307692
Southeast Magnolia,176,97.03225806,18,,,Southeast Magnolia,97.03225806
Stevens,94,95.52173913,122,,,Stevens,95.52173913
Sunset Hill,81,96.18867925,15,,,Sunset Hill,96.18867925
University District,139,90.93298969,7,,,University District,90.93298969
Victory Heights,128,97.12121212,167,,,Victory Heights,97.12121212
View Ridge,110,91.46666667,18,,,View Ridge,91.46666667
Wallingford,188,96.48986486,65,,,Wallingford,96.48986486
Wedgwood,124,96.325,64,,,Wedgwood,96.325
West Queen Anne,194,95.5971223,17,,,West Queen Anne,95.5971223
West Woodland,129,95.63207547,26,,,West Woodland,95.63207547
Westlake,170,95.98461538,10,,,Westlake,95.98461538
Whittier Heights,116,96.92063492,17,,,Whittier Heights,96.92063492
Windermere,,92.83333333,,,,Windermere,92.83333333
Yesler Terrace,,95.09756098,,,,Yesler Terrace,95.09756098